title,ajg_2024,cabs_field,subfield,theory_fit,notes
Academy of Management Review,4*,ETHICS-CSR-MAN,Management Theory,Core,"Purely conceptual/theoretical — but verbal theory, not formal models."
Econometrica,4*,ECON,General / Micro Theory,Core,"Premier theory journal. Mechanism design, game theory, decision theory."
American Economic Review,4*,ECON,General,Regular,Publishes major theory contributions; needs broad appeal.
American Journal of Political Science,4*,SOC SCI,Political Science,Regular,"Has formal theory section. Political economy, regulation."
American Political Science Review,4*,SOC SCI,Political Science,Regular,"Formal political economy models. Voting, institutions, information."
Journal of Finance,4*,FINANCE,Finance,Regular,"Asset pricing theory, market microstructure theory."
Journal of Financial Economics,4*,FINANCE,Finance,Regular,"Corporate finance theory, contracting models."
Journal of Political Economy,4*,ECON,General,Regular,"Political economy theory, information economics."
Management Science,4*,OR&MANSCI,OR / Decision Science,Regular,"Formal models in OR, mechanism design, platform economics, decision theory."
Marketing Science,4*,MKT,Marketing / Platform Economics,Regular,"Game-theoretic models of platforms, information, pricing."
Operations Research,4*,OR&MANSCI,OR / Decision Science,Regular,Game-theoretic/mechanism design models if framed as OR.
Review of Economic Studies,4*,ECON,General,Regular,~30-40% theory. Strong tradition.
Review of Financial Studies,4*,FINANCE,Finance,Regular,Financial theory. Less relevant for your topics.
Information Systems Research,4*,INFO MAN,Information Systems,Occasional,"Occasionally publishes formal models (mechanism design for platforms, information markets)."
MIS Quarterly: Management Information Systems,4*,INFO MAN,Information Systems,Occasional,Design science and formal models occasionally. Predominantly empirical.
Organization Science,4*,ORG STUD,Organisation Theory,Occasional,"Formal/computational organisation theory (rare but exists). NK models, agent-based."
Quarterly Journal of Economics,4*,ECON,General,Occasional,Strongly prefers empirical. Hardest top-5 for pure theory.
Research Policy,4*,INNOV,Innovation / Technology Policy,Occasional,Policy-relevant theoretical frameworks. More conceptual than formal.
Strategic Management Journal,4*,STRAT,Strategy,Occasional,Game-theoretic strategy models exist but rare. Predominantly empirical.
Journal of Economic Theory,4,ECON,Micro Theory / Game Theory,Core,Dedicated theory journal — entire mandate.
Mathematical Programming,4,OR&MANSCI,Optimisation,Core,Optimisation theory. Accepts mechanism design with algorithmic flavour.
Psychological Review,4,PSYCH (GENERAL),Psychology / Decision Science,Core,"Formal models of cognition, judgment, decision-making."
RAND Journal of Economics,4,ECON,IO / Regulation,Core,"IO theory, regulation, mechanism design."
Theoretical Economics,4,ECON,Micro Theory / Game Theory,Core,Econometric Society theory journal. Open access.
Economic Journal,4,ECON,General,Regular,Generalist; accepts theory with policy relevance.
European Journal of Operational Research,4,OR&MANSCI,OR / Decision Science,Regular,"Decision theory, game theory, formal MCDM models."
International Economic Review,4,ECON,General,Regular,"Micro theory, game theory, trade theory."
International Organization,4,SOC SCI,International Relations,Regular,"Formal models of international regulatory competition, governance."
Journal of International Economics,4,ECON,International / Trade,Regular,Trade theory models. Narrower scope.
Journal of Monetary Economics,4,ECON,Macro / Monetary,Regular,"Macro/monetary theory models (DSGE, policy)."
Journal of Politics,4,SOC SCI,Political Science,Regular,"Formal models of institutions, information, regulation."
Journal of the European Economic Association,4,ECON,General,Regular,Theory with European/policy angle.
Quantitative Economics,4,ECON,General,Regular,Econometric Society journal; theoretical econometrics and economic theory.
Governance,4,PUB SEC,Public Administration / Regulation,Occasional,Regulatory governance theory. Compliance/enforcement framing.
Journal of Management Studies,4,ETHICS-CSR-MAN,Management,Occasional,Methods SI accepts formal/analytical papers. Otherwise empirical.
Journal of Public Administration Research and Theory,4,PUB SEC,Public Administration / Regulation,Occasional,Accepts formal models of regulation/public admin.
Nature Human Behaviour,4,PSYCH (GENERAL),Behavioural Science,Occasional,Accepts theoretical/computational models with strong behavioural framing.
Organizational Behavior and Human Decision Processes,4,PSYCH (WOP-OB),Decision Science / OB,Occasional,Formal decision models if behaviourally grounded.
Socio-Economic Review,4,SOC SCI,Political Economy,Occasional,Institutional/comparative; accepts analytical frameworks.
