title,ajg_2024,wbs_60,ft_50,subfield
American Economic Review,4*,Yes,Yes,General
Annals of Statistics,4*,,,Econometrics / Statistics
Econometrica,4*,Yes,Yes,Econometrics / Statistics
Journal of Political Economy,4*,Yes,Yes,General
Quarterly Journal of Economics,4*,Yes,Yes,General
Review of Economic Studies,4*,Yes,Yes,General
American Economic Journal: Applied Economics,4,,,General
American Economic Journal: Macroeconomics,4,,,Macro / Monetary
Biometrika,4,,,Econometrics / Statistics
Econometric Theory,4,,,Econometrics / Statistics
Economic Journal,4,,,General
International Economic Review,4,,,International / Trade
Journal of Business and Economic Statistics,4,,,Econometrics / Statistics
Journal of Econometrics,4,Yes,,Econometrics / Statistics
Journal of Economic Literature,4,,,General
Journal of Economic Perspectives,4,,,General
Journal of Economic Theory,4,,,Micro Theory / Game Theory
Journal of International Economics,4,,,International / Trade
Journal of Labor Economics,4,,,Labor
Journal of Monetary Economics,4,,,Macro / Monetary
Journal of the American Statistical Association,4,,,Econometrics / Statistics
Journal of the European Economic Association,4,,,General
Journal of the Royal Statistical Society. Series B: Statistical Methodology,4,,,Econometrics / Statistics
Quantitative Economics,4,,,General
RAND Journal of Economics,4,,,IO / Regulation
Review of Economics and Statistics,4,,,Econometrics / Statistics
Theoretical Economics,4,,,Micro Theory / Game Theory
American Economic Journal: Economic Policy,3,,,General
American Economic Journal: Microeconomics,3,,,General
American Economic Review: Insights,3,,,General
American Journal of Agricultural Economics,3,,,Agricultural
Annual Review of Economics,3,,,General
Brookings Papers on Economic Activity,3,,,General
Cambridge Journal of Economics,3,,,General
Canadian Journal of Economics,3,,,General
Computational Statistics and Data Analysis,3,,,Econometrics / Statistics
Ecological Economics,3,,,Environmental / Energy
Econometric Reviews,3,,,Econometrics / Statistics
Econometrics Journal,3,,,Econometrics / Statistics
Economic Development and Cultural Change,3,,,Development
Economic Inquiry,3,,,General
Economic Policy,3,,,General
Economic Theory,3,,,Micro Theory / Game Theory
Economica,3,,,General
Economics Letters,3,,,General
Energy Economics,3,,,Environmental / Energy
Environmental and Resource Economics,3,,,Environmental / Energy
European Economic Review,3,,,General
European Review of Agricultural Economics,3,,,Agricultural
Experimental Economics,3,,,Behavioral / Experimental
Games and Economic Behavior,3,,,Micro Theory / Game Theory
Health Economics (United Kingdom),3,,,Health
IMF Economic Review,3,,,General
International Journal of Industrial Organization,3,,,IO / Regulation
International Statistical Review,3,,,Econometrics / Statistics
Journal of Agricultural Economics,3,,,Agricultural
Journal of Applied Econometrics,3,,,Econometrics / Statistics
Journal of Comparative Economics,3,,,General
Journal of Computational and Graphical Statistics,3,,,Econometrics / Statistics
Journal of Development Economics,3,,,Development
Journal of Economic Behavior and Organization,3,,,Behavioral / Experimental
Journal of Economic Dynamics and Control,3,,,Macro / Monetary
Journal of Economic Growth,3,,,Macro / Monetary
Journal of Environmental Economics and Management,3,,,Environmental / Energy
Journal of Health Economics,3,,,Health
Journal of Human Capital,3,,,Labor
Journal of Human Resources,3,,,Labor
Journal of Industrial Economics,3,,,IO / Regulation
Journal of Institutional Economics,3,,,Institutional
Journal of Law and Economics,3,,,Law & Economics
"Journal of Law, Economics, and Organization",3,,,Law & Economics
